Sample ID,Commod,Pesticide Code,Pesticide Name,Test Class,Concentration,LOD,pp_,Confirm 1,Confirm 2,Annotate,Quantitate,Mean,Extract,Determ,EPA Tolerance (ppm)
CA0710100004HYUS2,"HY","124","Coumaphos","C",0.0011,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0710100146HYUS2P,"HY","297","Fluvalinate","O",0.0019,0.001,"M","GN","","","SM","O","821","72","0.05"
CA0710100151HYUS2P,"HY","124","Coumaphos","C",0.0015,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0710100406HYUS2P,"HY","297","Fluvalinate","O",0.0026,0.001,"M","GN","","","SM","O","821","72","0.05"
CA0710100514HYUS2,"HY","297","Fluvalinate","O",0.0025,0.001,"M","GN","","","SM","O","821","72","0.05"
CA0710100549HYUS2,"HY","529","Vinclozolin","A",0.0107,0.001,"M","GN","","V","SM","O","821","72","NT"
CA0710100560HYUS2,"HY","254","Dicofol p,p'","A",0.0013,0.001,"M","GN","","V","SM","O","821","72","NT"
CA0710100561HYUS2,"HY","124","Coumaphos","C",0.0014,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0710100561HYUS2,"HY","297","Fluvalinate","O",0.0067,0.001,"M","GN","","","SM","O","821","72","0.05"
CA0710100561HYUS2,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.0058,0.004,"M","M","","","SM","O","821","07","1"
CA0711140004HYUS2,"HY","124","Coumaphos","C",0.0012,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0711140142HYUS2P,"HY","254","Dicofol p,p'","A",0.0036,0.001,"M","GN","","V","SM","O","821","72","NT"
CA0711140329HYUS2,"HY","124","Coumaphos","C",0.0111,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0711140329HYUS2,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.0275,0.004,"M","M","","","SM","O","821","07","1"
CA0711140406HYUS2P,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.005,0.004,"M","M","","","SM","O","821","07","1"
CA0711140515HYUS2,"HY","297","Fluvalinate","O",0.0011,0.001,"M","GN","","","SM","O","821","72","0.05"
CA0711140548HYUS2,"HY","529","Vinclozolin","A",0.0106,0.001,"M","GN","","V","SM","O","821","72","NT"
CA0712050001HYUS2,"HY","124","Coumaphos","C",0.0011,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0712050001HYUS2,"HY","297","Fluvalinate","O",0.0018,0.001,"M","GN","","","SM","O","821","72","0.05"
CA0712050142HYUS2P,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.0049,0.004,"M","M","","","SM","O","821","07","1"
CA0712050151HYUS2P,"HY","124","Coumaphos","C",0.0014,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0712050152HYUS2P,"HY","124","Coumaphos","C",0.0011,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0712050406HYUS2P,"HY","124","Coumaphos","C",0.0017,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0712050484HYUS2,"HY","124","Coumaphos","C",0.0052,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0712050564HYUS2,"HY","124","Coumaphos","C",0.0018,0.001,"M","GN","","","SM","O","821","72","0.15"
CO0710010001HYUS2,"HY","254","Dicofol p,p'","A",0.0021,0.001,"M","GN","","V","SM","O","821","72","NT"
CO0711050009HYUS2,"HY","297","Fluvalinate","O",0.0011,0.001,"M","GN","","","SM","O","821","72","0.05"
FL0710080055HYUS2P,"HY","124","Coumaphos","C",0.0018,0.001,"M","GN","","","SM","O","821","72","0.15"
FL0710080056HYUS2P,"HY","124","Coumaphos","C",0.0012,0.001,"M","GN","","","SM","O","821","72","0.15"
FL0711090023HYUS2P,"HY","124","Coumaphos","C",0.0014,0.001,"M","GN","","","SM","O","821","72","0.15"
FL0711090023HYUS2P,"HY","297","Fluvalinate","O",0.001,0.001,"M","GN","","","SM","O","821","72","0.05"
FL0711130029HYUS2P,"HY","124","Coumaphos","C",0.001,0.001,"M","GN","","","SM","O","821","72","0.15"
FL0711130064HYUS2P,"HY","124","Coumaphos","C",0.001,0.001,"M","GN","","","SM","O","821","72","0.15"
FL0711130064HYUS2P,"HY","297","Fluvalinate","O",0.0022,0.001,"M","GN","","","SM","O","821","72","0.05"
FL0711130066HYUS2P,"HY","124","Coumaphos","C",0.0014,0.001,"M","GN","","","SM","O","821","72","0.15"
FL0711130066HYUS2P,"HY","297","Fluvalinate","O",0.0027,0.001,"M","GN","","","SM","O","821","72","0.05"
FL0711130067HYUS2,"HY","124","Coumaphos","C",0.0014,0.001,"M","GN","","","SM","O","821","72","0.15"
FL0712100001HYUS2P,"HY","124","Coumaphos","C",0.0018,0.001,"M","GN","","","SM","O","821","72","0.15"
FL0712100002HYUS2P,"HY","124","Coumaphos","C",0.0011,0.001,"M","GN","","","SM","O","821","72","0.15"
FL0712100009HYUS2P,"HY","124","Coumaphos","C",0.0012,0.001,"M","GN","","","SM","O","821","72","0.15"
FL0712100025HYUS2,"HY","124","Coumaphos","C",0.0011,0.001,"M","GN","","","SM","O","821","72","0.15"
FL0712100066HYUS2,"HY","124","Coumaphos","C",0.0014,0.001,"M","GN","","","SM","O","821","72","0.15"
MD0710110005HYUS2,"HY","124","Coumaphos","C",0.001,0.001,"M","GN","","","SM","O","821","72","0.15"
MD0710110005HYUS2,"HY","297","Fluvalinate","O",0.001,0.001,"M","GN","","","SM","O","821","72","0.05"
MD0710110039HYUS2,"HY","297","Fluvalinate","O",0.0011,0.001,"M","GN","","","SM","O","821","72","0.05"
MD0711140001HYUS2,"HY","124","Coumaphos","C",0.0011,0.001,"M","GN","","","SM","O","821","72","0.15"
MD0711140005HYUS2,"HY","124","Coumaphos","C",0.0011,0.001,"M","GN","","","SM","O","821","72","0.15"
MD0712050005HYUS2,"HY","124","Coumaphos","C",0.0012,0.001,"M","GN","","","SM","O","821","72","0.15"
MI0710090008HYUS2,"HY","124","Coumaphos","C",0.0011,0.001,"M","GN","","","SM","O","821","72","0.15"
MI0710090056HYUS2P,"HY","124","Coumaphos","C",0.0015,0.001,"M","GN","","","SM","O","821","72","0.15"
MI0710090056HYUS2P,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.0092,0.004,"M","M","","","SM","O","821","07","1"
MI0710090084HYUS2,"HY","124","Coumaphos","C",0.0011,0.001,"M","GN","","","SM","O","821","72","0.15"
MI0710090084HYUS2,"HY","297","Fluvalinate","O",0.0017,0.001,"M","GN","","","SM","O","821","72","0.05"
MI0710090094HYUS2,"HY","124","Coumaphos","C",0.0013,0.001,"M","GN","","","SM","O","821","72","0.15"
MI0711130008HYUS2,"HY","124","Coumaphos","C",0.0012,0.001,"M","GN","","","SM","O","821","72","0.15"
MI0711130055HYUS2,"HY","124","Coumaphos","C",0.002,0.001,"M","GN","","","SM","O","821","72","0.15"
MI0711130056HYUS2,"HY","124","Coumaphos","C",0.0017,0.001,"M","GN","","","SM","O","821","72","0.15"
MI0711130084HYUS2,"HY","124","Coumaphos","C",0.0023,0.001,"M","GN","","","SM","O","821","72","0.15"
MI0712110021HYUS2,"HY","124","Coumaphos","C",0.0012,0.001,"M","GN","","","SM","O","821","72","0.15"
MI0712110055HYUS2,"HY","124","Coumaphos","C",0.0017,0.001,"M","GN","","","SM","O","821","72","0.15"
MI0712110056HYUS2,"HY","124","Coumaphos","C",0.0013,0.001,"M","GN","","","SM","O","821","72","0.15"
NY0710100009HYUS2P,"HY","124","Coumaphos","C",0.0012,0.001,"M","GN","","","SM","O","821","72","0.15"
NY0710100015HYUS2,"HY","124","Coumaphos","C",0.0012,0.001,"M","GN","","","SM","O","821","72","0.15"
NY0710100017HYUS2P,"HY","124","Coumaphos","C",0.0016,0.001,"M","GN","","","SM","O","821","72","0.15"
NY0710100186HYUS2P,"HY","124","Coumaphos","C",0.0012,0.001,"M","GN","","","SM","O","821","72","0.15"
NY0710100201HYUS2,"HY","124","Coumaphos","C",0.0016,0.001,"M","GN","","","SM","O","821","72","0.15"
NY0710100254HYUS2P,"HY","124","Coumaphos","C",0.0047,0.001,"M","GN","","","SM","O","821","72","0.15"
NY0710100280HYUS2,"HY","124","Coumaphos","C",0.0025,0.001,"M","GN","","","SM","O","821","72","0.15"
NY0711070012HYUS2,"HY","124","Coumaphos","C",0.0013,0.001,"M","GN","","","SM","O","821","72","0.15"
NY0711070017HYUS2P,"HY","124","Coumaphos","C",0.0013,0.001,"M","GN","","","SM","O","821","72","0.15"
NY0711070124HYUS2,"HY","124","Coumaphos","C",0.005,0.001,"M","GN","","","SM","O","821","72","0.15"
NY0711070186HYUS2P,"HY","124","Coumaphos","C",0.0017,0.001,"M","GN","","","SM","O","821","72","0.15"
NY0712050005HYUS2,"HY","124","Coumaphos","C",0.002,0.001,"M","GN","","","SM","O","821","72","0.15"
NY0712050012HYUS2,"HY","124","Coumaphos","C",0.0017,0.001,"M","GN","","","SM","O","821","72","0.15"
NY0712050015HYUS2,"HY","124","Coumaphos","C",0.0015,0.001,"M","GN","","","SM","O","821","72","0.15"
NY0712050186HYUS2P,"HY","297","Fluvalinate","O",0.002,0.001,"M","GN","","","SM","O","821","72","0.05"
NY0712050220HYUS2,"HY","124","Coumaphos","C",0.0043,0.001,"M","GN","","","SM","O","821","72","0.15"
NY0712050250HYUS2,"HY","297","Fluvalinate","O",0.0012,0.001,"M","GN","","","SM","O","821","72","0.05"
NY0712050254HYUS2P,"HY","124","Coumaphos","C",0.0011,0.001,"M","GN","","","SM","O","821","72","0.15"
NY0712050261HYUS2P,"HY","124","Coumaphos","C",0.001,0.001,"M","GN","","","SM","O","821","72","0.15"
NY0712050280HYUS2P,"HY","124","Coumaphos","C",0.0025,0.001,"M","GN","","","SM","O","821","72","0.15"
OH0710010100HYUS2,"HY","144","Dicloran","A",0.001,0.001,"M","GN","","V","SM","O","821","72","NT"
OH0710010436HYUS2P,"HY","124","Coumaphos","C",0.001,0.001,"M","GN","","","SM","O","821","72","0.15"
OH0710010436HYUS2P,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.0076,0.004,"M","M","","","SM","O","821","07","1"
OH0711050223HYUS2P,"HY","124","Coumaphos","C",0.0118,0.001,"M","GN","","","SM","O","821","72","0.15"
OH0711050422HYUS2P,"HY","124","Coumaphos","C",0.0018,0.001,"M","GN","","","SM","O","821","72","0.15"
OH0711050429HYUS2P,"HY","124","Coumaphos","C",0.0012,0.001,"M","GN","","","SM","O","821","72","0.15"
OH0712030100HYUS2,"HY","124","Coumaphos","C",0.0022,0.001,"M","GN","","","SM","O","821","72","0.15"
OH0712030212HYUS2P,"HY","124","Coumaphos","C",0.001,0.001,"M","GN","","","SM","O","821","72","0.15"
OH0712030212HYUS2P,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.0042,0.004,"M","M","","","SM","O","821","07","1"
OH0712030422HYUS2P,"HY","124","Coumaphos","C",0.002,0.001,"M","GN","","","SM","O","821","72","0.15"
OH0712030431HYUS2P,"HY","124","Coumaphos","C",0.0019,0.001,"M","GN","","","SM","O","821","72","0.15"
OH0712030431HYUS2P,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.0055,0.004,"M","M","","","SM","O","821","07","1"
TX0710010040HYUS2,"HY","124","Coumaphos","C",0.0012,0.001,"M","GN","","","SM","O","821","72","0.15"
TX0710010103HYUS2,"HY","124","Coumaphos","C",0.0024,0.001,"M","GN","","","SM","O","821","72","0.15"
TX0710010105HYUS2,"HY","124","Coumaphos","C",0.0016,0.001,"M","GN","","","SM","O","821","72","0.15"
TX0711050040HYUS2,"HY","124","Coumaphos","C",0.002,0.001,"M","GN","","","SM","O","821","72","0.15"
TX0711050201HYUS2P,"HY","297","Fluvalinate","O",0.0044,0.001,"M","GN","","","SM","O","821","72","0.05"
TX0711050406HYUS2,"HY","124","Coumaphos","C",0.0021,0.001,"M","GN","","","SM","O","821","72","0.15"
TX0711050409HYUS2,"HY","124","Coumaphos","C",0.0016,0.001,"M","GN","","","SM","O","821","72","0.15"
TX0712030103HYUS2,"HY","124","Coumaphos","C",0.0015,0.001,"M","GN","","","SM","O","821","72","0.15"
TX0712030201HYUS2,"HY","297","Fluvalinate","O",0.0039,0.001,"M","GN","","","SM","O","821","72","0.05"
TX0712030300HYUS2,"HY","124","Coumaphos","C",0.0014,0.001,"M","GN","","","SM","O","821","72","0.15"
TX0712030409HYUS2,"HY","124","Coumaphos","C",0.0017,0.001,"M","GN","","","SM","O","821","72","0.15"
TX0712030419HYUS2P,"HY","124","Coumaphos","C",0.0011,0.001,"M","GN","","","SM","O","821","72","0.15"
WA0710010004HYUS2P,"HY","297","Fluvalinate","O",0.0025,0.001,"M","GN","","","SM","O","821","72","0.05"
WA0710010011HYUS2P,"HY","124","Coumaphos","C",0.0014,0.001,"M","GN","","","SM","O","821","72","0.15"
WA0710010033HYUS2P,"HY","124","Coumaphos","C",0.001,0.001,"M","GN","","","SM","O","821","72","0.15"
WA0711050033HYUS2P,"HY","124","Coumaphos","C",0.0016,0.001,"M","GN","","","SM","O","821","72","0.15"
WA0712030004HYUS2P,"HY","124","Coumaphos","C",0.0012,0.001,"M","GN","","","SM","O","821","72","0.15"
WA0712030004HYUS2P,"HY","297","Fluvalinate","O",0.0022,0.001,"M","GN","","","SM","O","821","72","0.05"
WA0712030034HYUS2P,"HY","124","Coumaphos","C",0.0013,0.001,"M","GN","","","SM","O","821","72","0.15"
WI0710010114HYUS2,"HY","124","Coumaphos","C",0.0029,0.001,"M","GN","","","SM","O","821","72","0.15"
WI0711050103HYUS2,"HY","124","Coumaphos","C",0.001,0.001,"M","GN","","","SM","O","821","72","0.15"
WI0712030103HYUS2,"HY","124","Coumaphos","C",0.0013,0.001,"M","GN","","","SM","O","821","72","0.15"
WI0712030122HYUS2,"HY","124","Coumaphos","C",0.0014,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0801160142HYUS2P,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.0092,0.004,"M","M","","","SM","O","821","07","1"
CA0801160151HYUS2P,"HY","124","Coumaphos","C",0.0016,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0801160152HYUS2P,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.0088,0.004,"M","M","","","SM","O","821","07","1"
CA0801160273HYUS2,"HY","254","Dicofol p,p'","A",0.0017,0.001,"M","GN","","V","SM","O","821","72","NT"
CA0801160273HYUS2,"HY","297","Fluvalinate","O",0.0011,0.001,"M","GN","","","SM","O","821","72","0.05"
CA0801160406HYUS2P,"HY","297","Fluvalinate","O",0.0025,0.001,"M","GN","","","SM","O","821","72","0.05"
CA0801160484HYUS2,"HY","297","Fluvalinate","O",0.0016,0.001,"M","GN","","","SM","O","821","72","0.05"
CA0801160514HYUS2,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.0051,0.004,"M","M","","","SM","O","821","07","1"
CA0801170560HYUS2,"HY","297","Fluvalinate","O",0.001,0.001,"M","GN","","","SM","O","821","72","0.05"
CA0802110004HYUS2,"HY","297","Fluvalinate","O",0.0015,0.001,"M","GN","","","SM","O","821","72","0.05"
CA0802110142HYUS2P,"HY","124","Coumaphos","C",0.0015,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0802110142HYUS2P,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.0077,0.004,"M","M","","","SM","O","821","07","1"
CA0802110152HYUS2P,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.0049,0.004,"M","M","","","SM","O","821","07","1"
CA0802110273HYUS2,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.0085,0.004,"M","M","","","SM","O","821","07","1"
CA0802110319HYUS2,"HY","297","Fluvalinate","O",0.0124,0.001,"M","GN","","","SM","O","821","72","0.05"
CA0802110319HYUS2,"HY","AES","Methoxyfenozide","I",0.0028,0.002,"M","LU","","V","SM","O","821","52","NT"
CA0803120152HYUS2P,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.0088,0.004,"M","M","","","SM","O","821","07","1"
CA0803120328HYUS2,"HY","297","Fluvalinate","O",0.0018,0.001,"M","GN","","","SM","O","821","72","0.05"
CA0803120406HYUS2P,"HY","254","Dicofol p,p'","A",0.0029,0.001,"M","GN","","V","SM","O","821","72","NT"
CA0803120406HYUS2P,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.0094,0.004,"M","M","","","SM","O","821","07","1"
CA0803120561HYUS2,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.0244,0.004,"M","M","","","SM","O","821","07","1"
CA0804160004HYUS2,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.006,0.004,"M","M","","","SM","O","821","07","1"
CA0804160273HYUS2,"HY","124","Coumaphos","C",0.0013,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0804160492HYUS2,"HY","124","Coumaphos","C",0.0015,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0804160504HYUS2,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.0092,0.004,"M","M","","","SM","O","821","07","1"
CA0804160519HYUS2,"HY","124","Coumaphos","C",0.0012,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0804160519HYUS2,"HY","254","Dicofol p,p'","A",0.0011,0.001,"M","GN","","V","SM","O","821","72","NT"
CA0804160582HYUS2,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.0052,0.004,"M","M","","","SM","O","821","07","1"
CA0805140001HYUS2,"HY","124","Coumaphos","C",0.001,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0805140001HYUS2,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.0064,0.004,"M","M","","","SM","O","821","07","1"
CA0805140142HYUS2,"HY","254","Dicofol p,p'","A",0.0017,0.001,"M","GN","","V","SM","O","821","72","NT"
CA0805140151HYUS2,"HY","297","Fluvalinate","O",0.002,0.001,"M","GN","","","SM","O","821","72","0.05"
CA0805140273HYUS2,"HY","124","Coumaphos","C",0.0013,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0805140273HYUS2,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.0072,0.004,"M","M","","","SM","O","821","07","1"
CA0805140467HYUS2,"HY","124","Coumaphos","C",0.0014,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0805140550HYUS2,"HY","124","Coumaphos","C",0.001,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0805140550HYUS2,"HY","529","Vinclozolin","A",0.0013,0.001,"M","GN","","V","SM","O","821","72","NT"
CA0806110004HYUS2,"HY","124","Coumaphos","C",0.001,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0806110004HYUS2,"HY","297","Fluvalinate","O",0.0017,0.001,"M","GN","","","SM","O","821","72","0.05"
CA0806110146HYUS2,"HY","254","Dicofol p,p'","A",0.0052,0.001,"M","GN","","V","SM","O","821","72","NT"
CA0806110273HYUS2,"HY","144","Dicloran","A",0.0011,0.001,"M","GN","","V","SM","O","821","72","NT"
CA0806110406HYUS2P,"HY","124","Coumaphos","C",0.0025,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0806110406HYUS2P,"HY","297","Fluvalinate","O",0.0029,0.001,"M","GN","","","SM","O","821","72","0.05"
CA0806110406HYUS2P,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.0092,0.004,"M","M","","","SM","O","821","07","1"
CA0806110517HYUS2,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.0058,0.004,"M","M","","","SM","O","821","07","1"
CA0806110531HYUS2,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.0091,0.004,"M","M","","","SM","O","821","07","1"
CA0806110553HYUS2,"HY","124","Coumaphos","C",0.001,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0806110553HYUS2,"HY","297","Fluvalinate","O",0.001,0.001,"M","GN","","","SM","O","821","72","0.05"
CA0806110557HYUS2,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.0076,0.004,"M","M","","","SM","O","821","07","1"
CA0806110560HYUS2,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.0094,0.004,"M","M","","","SM","O","821","07","1"
CA0806110568HYUS2,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.0041,0.004,"M","M","","","SM","O","821","07","1"
CA0806110577HYUS2,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.0061,0.004,"M","M","","","SM","O","821","07","1"
CA0807210319HYUS2,"HY","297","Fluvalinate","O",0.001,0.001,"M","GN","","","SM","O","821","72","0.05"
CA0807210516HYUS2,"HY","297","Fluvalinate","O",0.001,0.001,"M","GN","","","SM","O","821","72","0.05"
CA0808180146HYUS2,"HY","297","Fluvalinate","O",0.001,0.001,"M","GN","","","SM","O","821","72","0.05"
CA0808180151HYUS2P,"HY","124","Coumaphos","C",0.0016,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0808180407HYUS2,"HY","124","Coumaphos","C",0.0014,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0809220151HYUS2P,"HY","124","Coumaphos","C",0.0023,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0810230004HYUS2B,"HY","124","Coumaphos","C",0.0038,0.001,"M","GN","","","SM","O","821","72","0.15"
CA0810230273HYUS2C,"HY","254","Dicofol p,p'","A",0.0023,0.001,"M","GN","","V","SM","O","821","72","NT"
CA0810230504HYUS2,"HY","160","Chlorpyrifos","C",0.0013,0.001,"M","GN","","","SM","O","821","72","0.1"
CO0801070010HYUS2,"HY","254","Dicofol p,p'","A",0.001,0.001,"M","GN","","V","SM","O","821","72","NT"
CO0801070010HYUS2,"HY","297","Fluvalinate","O",0.0017,0.001,"M","GN","","","SM","O","821","72","0.05"
CO0805050007HYUS2,"HY","124","Coumaphos","C",0.0023,0.001,"M","GN","","","SM","O","821","72","0.15"
CO0805050013HYUS2,"HY","297","Fluvalinate","O",0.0013,0.001,"M","GN","","","SM","O","821","72","0.05"
CO0805050013HYUS2,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.005,0.004,"M","M","","","SM","O","821","07","1"
CO0806020001HYUS2,"HY","124","Coumaphos","C",0.0032,0.001,"M","GN","","","SM","O","821","72","0.15"
CO0806020007HYUS2,"HY","254","Dicofol p,p'","A",0.09,0.001,"M","GN","","V","SM","O","821","72","NT"
CO0807070010HYUS2,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.0192,0.004,"M","M","","","SM","O","821","07","1"
CO0807070012HYUS2,"HY","254","Dicofol p,p'","A",0.0011,0.001,"M","GN","","V","SM","O","821","72","NT"
FL0801100056HYUS2P,"HY","297","Fluvalinate","O",0.0012,0.001,"M","GN","","","SM","O","821","72","0.05"
FL0801110038HYUS2P,"HY","124","Coumaphos","C",0.0011,0.001,"M","GN","","","SM","O","821","72","0.15"
FL0801110049HYUS2,"HY","124","Coumaphos","C",0.0024,0.001,"M","GN","","","SM","O","821","72","0.15"
FL0801110049HYUS2,"HY","297","Fluvalinate","O",0.0029,0.001,"M","GN","","","SM","O","821","72","0.05"
FL0801110057HYUS2P,"HY","297","Fluvalinate","O",0.0012,0.001,"M","GN","","","SM","O","821","72","0.05"
FL0801140043HYUS2,"HY","124","Coumaphos","C",0.0012,0.001,"M","GN","","","SM","O","821","72","0.15"
FL0801140052HYUS2P,"HY","124","Coumaphos","C",0.0022,0.001,"M","GN","","","SM","O","821","72","0.15"
FL0801140052HYUS2P,"HY","297","Fluvalinate","O",0.0019,0.001,"M","GN","","","SM","O","821","72","0.05"
FL0801140058HYUS2P,"HY","124","Coumaphos","C",0.001,0.001,"M","GN","","","SM","O","821","72","0.15"
FL0801140058HYUS2P,"HY","297","Fluvalinate","O",0.0014,0.001,"M","GN","","","SM","O","821","72","0.05"
FL0802110002HYUS2P,"HY","297","Fluvalinate","O",0.0025,0.001,"M","GN","","","SM","O","821","72","0.05"
FL0802110060HYUS2P,"HY","124","Coumaphos","C",0.0018,0.001,"M","GN","","","SM","O","821","72","0.15"
FL0802110060HYUS2P,"HY","297","Fluvalinate","O",0.0027,0.001,"M","GN","","","SM","O","821","72","0.05"
FL0802110061HYUS2P,"HY","297","Fluvalinate","O",0.001,0.001,"M","GN","","","SM","O","821","72","0.05"
FL0803100001HYUS2P,"HY","297","Fluvalinate","O",0.0024,0.001,"M","GN","","","SM","O","821","72","0.05"
FL0803100007HYUS2P,"HY","297","Fluvalinate","O",0.0011,0.001,"M","GN","","","SM","O","821","72","0.05"
FL0803100009HYUS2P,"HY","124","Coumaphos","C",0.0012,0.001,"M","GN","","","SM","O","821","72","0.15"
FL0803100043HYUS2,"HY","297","Fluvalinate","O",0.0098,0.001,"M","GN","","","SM","O","821","72","0.05"
FL0803100046HYUS2P,"HY","AGR","2,4-dimethylphenyl formamide (2,4-DMPF)","F",0.0043,0.004,"M","M","","","SM","O","821","07","1"
